team,total_matches_played,total_wins,total_draws,total_losses,win_rate,draw_rate,loss_rate,goals_scored_total,goals_conceded_total,goal_difference,clean_sheets,avg_goals_scored,avg_goals_conceded,shots_per_match,shots_on_target_per_match,avg_possession,pass_accuracy,long_balls_per_match,crosses_per_match,offside_per_match,corners_per_match,tackles_per_match,interceptions_per_match,fouls_per_match,yellow_cards_per_match,red_cards_per_match,xG,xGA,xG_diff,goal_conversion_rate,saves_per_match,defensive_errors,progressive_passes,counter_attack_goals,set_piece_goals,avg_player_age,avg_player_caps,avg_player_experience,avg_minutes_played,avg_player_market_value,total_squad_value,num_foreign_league_players,num_top5_league_players,avg_height,avg_weight,avg_speed,avg_shot_accuracy,avg_pass_accuracy,avg_defensive_duels_won,avg_clearances,avg_dribbles_completed,avg_aerial_duels_won,injury_rate,players_under_23,players_over_30,coach_name,coach_tenure_years,coach_age,coach_nationality_match,total_matches_under_coach,win_rate_under_coach,formation_flexibility,avg_substitutions_used,num_worldcups_played,num_finals_reached,titles_won,semi_finals_reached,quarter_finals_reached,avg_tournament_finish_position,avg_goals_per_worldcup,avg_conceded_per_worldcup,best_finish_year,last_worldcup_rank,years_since_last_final,avg_points_group_stage,knockout_win_rate,continent,home_continent_advantage,host_status,climate_similarity,altitude_similarity,travel_distance_km,avg_travel_hours,fan_support_index,timezone_difference,form_points_last5,goal_diff_last5,streak_wins,streak_losses,undefeated_streak,avg_recent_possession,avg_recent_goals,fifa_rank,fifa_points,elo_rating,elo_change_last_year,avg_opponent_elo,avg_years_playing_together,num_same_club_teammates,communication_index
Germany,20,13,5,2,0.65,0.25,0.1,43,18,25,9,2.15,0.9,15.9,6.2,60.1,87.9,8.3,18.1,2.4,6.9,16.1,12.7,10.8,2.0,0.1,2.18,0.87,1.31,0.347,3.5,1.16,60.0,8.0,13.0,26.5,31.4,2198.0,2252.0,32.1,834.0,24,24,183.2,78.5,28.7,56.8,83.5,65.7,6.8,15.8,55.5,0.25,8,3,Julian Nagelsmann,1,37,1,14,0.71,3.0,4.0,20,8,4,13,16,17.3,7.4,4.1,2014,17,12,5.1,0.586,UEFA,0,0,0.7,0.76,4729.0,5.9,0.35,0.0,11,-2.0,4.0,1.0,8.0,57.4,2.02,11,1703.79,1790,0.3,1635.9,2.8,6.0,0.71
Uruguay,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,14.7,19.2,3.5,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,1.02,37.1,8.0,5.0,27.9,38.7,2709.0,1603.0,22.1,575.0,21,19,179.8,76.4,29.4,71.0,77.9,56.7,3.5,17.8,53.5,0.23,4,6,Marcelo Bielsa,1,69,0,14,0.522,3.0,4.9,14,2,2,5,8,11.5,8.9,6.1,1950,20,76,5.2,0.628,CONMEBOL,1,0,1.0,0.94,2795.0,3.5,0.31,9.0,11,3.0,3.0,3.0,4.0,53.7,1.64,12,1698.68,1780,37.9,1475.1,3.9,8.0,0.86
Croatia,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,9.7,11.0,3.2,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,0.33,50.7,6.0,8.0,28.3,41.6,2912.0,1959.0,19.8,515.0,23,20,182.5,78.1,28.8,57.5,77.9,57.2,7.8,15.5,62.8,0.1,3,7,Zlatko Dalic,7,58,1,14,0.493,3.0,4.2,6,2,0,2,3,19.1,9.2,5.9,2018,3,8,4.8,0.369,UEFA,0,0,0.99,0.65,6493.0,8.1,0.9,11.0,11,3.0,2.0,2.0,10.0,51.0,1.63,13,1679.28,1770,28.0,1636.5,4.1,4.0,0.76
Morocco,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,10.5,11.6,2.5,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,1.0,47.1,10.0,10.0,26.8,27.4,1918.0,1705.0,18.6,484.0,20,17,179.2,74.8,29.6,69.4,77.9,56.4,7.2,12.5,55.8,0.13,7,4,Walid Regragui,2,49,1,14,0.496,3.0,3.9,6,0,0,1,1,9.2,4.8,3.8,2022,4,4,5.8,0.652,CAF,0,0,0.85,0.9,8756.0,10.9,0.45,2.0,11,-1.0,3.0,2.0,9.0,50.2,1.75,14,1676.03,1760,48.6,1652.3,4.0,4.0,0.87
Switzerland,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,13.6,10.9,1.9,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,1.13,45.9,10.0,12.0,27.4,34.2,2394.0,1836.0,17.3,450.0,22,18,181.7,77.6,31.9,74.2,77.9,66.0,3.3,14.6,50.9,0.11,5,5,Murat Yakin,3,50,1,14,0.521,3.0,4.3,12,0,0,0,3,10.6,12.0,4.4,1954,16,72,4.7,0.572,UEFA,0,0,0.57,0.65,5654.0,7.1,0.42,3.0,11,2.0,4.0,1.0,2.0,52.6,1.51,15,1654.46,1750,74.9,1623.3,4.3,8.0,0.93
Mexico,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,9.4,13.6,2.3,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,0.46,39.0,3.0,11.0,27.6,31.8,2226.0,2394.0,14.2,369.0,15,8,176.4,73.9,32.9,64.9,77.9,62.5,6.4,17.5,53.9,0.13,5,6,Javier Aguirre,1,66,1,14,0.504,2.0,4.8,17,0,0,0,2,16.7,6.7,6.0,1970,13,56,4.1,0.448,CONCACAF,1,1,0.53,0.63,9056.0,11.3,0.71,6.0,11,0.0,2.0,2.0,3.0,51.6,1.52,16,1648.82,1740,-43.9,1546.0,2.6,7.0,0.88
USA,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,12.4,14.7,1.7,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,0.82,49.8,10.0,13.0,25.8,28.3,1981.0,2110.0,16.8,437.0,19,14,180.3,76.2,30.1,67.4,77.9,67.6,3.0,9.1,59.0,0.09,9,3,Gregg Berhalter,3,51,1,14,0.537,3.0,4.7,11,0,0,1,2,19.6,9.5,6.2,1930,16,96,3.7,0.596,CONCACAF,1,1,0.89,1.0,2693.0,3.4,0.81,5.0,11,3.0,2.0,2.0,10.0,54.5,1.71,17,1634.25,1730,-8.3,1683.2,2.3,6.0,0.7
Japan,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,14.0,15.0,2.7,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,0.96,40.9,11.0,11.0,26.2,25.7,1799.0,2346.0,12.8,333.0,16,11,175.8,72.4,30.2,68.1,77.9,67.2,5.7,9.9,59.7,0.15,8,4,Hajime Moriyasu,6,56,1,14,0.471,4.0,3.8,7,0,0,0,3,11.8,8.6,5.3,2002,16,24,6.0,0.663,AFC,0,0,0.77,0.97,9637.0,12.0,0.9,5.0,11,6.0,3.0,1.0,3.0,51.9,1.51,18,1629.49,1720,50.1,1676.2,4.3,7.0,0.61
Senegal,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,10.3,13.8,3.0,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,0.45,43.3,6.0,14.0,27.1,29.4,2058.0,2103.0,15.7,408.0,22,15,180.6,76.8,28.7,67.2,77.9,68.7,6.0,14.4,52.9,0.15,6,5,Aliou Cisse,8,48,1,14,0.456,4.0,4.3,3,0,0,0,2,13.2,10.5,6.2,2002,16,24,3.0,0.663,CAF,0,0,0.55,0.73,2398.0,3.0,0.67,4.0,11,3.0,4.0,2.0,9.0,53.8,1.58,19,1623.11,1710,-9.1,1699.0,3.8,4.0,0.8
Denmark,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,13.7,12.2,3.1,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,0.83,42.9,3.0,13.0,27.3,33.6,2352.0,1752.0,19.2,499.0,23,19,183.1,78.9,31.2,66.1,77.9,57.8,6.6,13.2,64.4,0.19,6,4,Kasper Hjulmand,4,52,1,14,0.475,5.0,4.7,6,0,0,1,2,16.1,9.4,7.1,1998,13,28,3.3,0.625,UEFA,0,0,0.85,0.95,2494.0,3.1,0.75,0.0,11,6.0,4.0,3.0,1.0,53.4,1.51,20,1614.87,1700,62.8,1529.0,1.6,8.0,0.6
Iran,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,11.7,11.1,1.7,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,0.99,44.6,5.0,7.0,27.0,30.0,2100.0,2358.0,15.0,400.0,15,10,179.0,75.5,29.8,62.3,77.9,57.9,4.6,16.4,62.3,0.09,5,5,Unknown Coach,2,50,1,14,0.458,3.0,5.0,0,0,0,0,0,8.7,9.1,5.9,0,0,99,5.9,0.446,AFC,0,0,0.62,0.95,1708.0,2.1,0.83,10.0,11,-1.0,0.0,1.0,4.0,51.9,1.71,21,1597.35,1690,68.6,1574.8,3.6,5.0,0.92
Australia,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,14.5,18.4,1.2,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,0.44,35.2,10.0,14.0,27.0,30.0,2100.0,2317.0,15.0,400.0,15,10,179.0,75.5,29.8,59.7,77.9,65.8,6.0,14.8,57.3,0.15,5,5,Unknown Coach,2,50,1,14,0.531,3.0,4.6,0,0,0,0,0,11.9,8.3,6.2,0,0,99,3.4,0.623,AFC,0,0,0.74,0.83,2151.0,2.7,0.85,6.0,11,-0.0,1.0,2.0,9.0,54.5,1.47,22,1593.42,1680,-21.7,1586.6,4.4,8.0,0.78
South Korea,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,9.4,18.5,2.0,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,1.04,55.8,10.0,11.0,26.9,32.1,2247.0,1230.0,11.3,294.0,14,9,178.2,74.1,29.1,65.3,77.9,68.3,5.0,13.7,64.3,0.21,7,5,Jurgen Klinsmann,1,60,0,14,0.49,5.0,3.6,11,0,0,1,1,10.0,11.0,6.0,2002,16,24,4.8,0.317,AFC,0,0,0.59,0.83,10512.0,13.1,0.36,5.0,11,5.0,5.0,3.0,6.0,51.4,1.67,23,1587.23,1670,71.2,1475.5,4.1,4.0,0.71
Austria,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,8.6,14.1,3.2,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,0.66,58.5,8.0,6.0,27.0,30.0,2100.0,2137.0,15.0,400.0,15,10,179.0,75.5,30.7,57.9,77.9,57.2,4.4,8.9,50.2,0.13,5,5,Unknown Coach,2,50,1,14,0.541,3.0,4.1,0,0,0,0,0,15.0,7.6,5.0,0,0,99,6.3,0.623,UEFA,0,0,0.58,0.98,10845.0,13.6,0.86,10.0,11,-2.0,2.0,3.0,9.0,53.2,1.47,24,1581.09,1660,-28.2,1652.5,2.5,7.0,0.76
Ukraine,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,10.8,13.2,2.4,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,0.53,36.3,7.0,11.0,27.0,30.0,2100.0,2018.0,15.0,400.0,15,10,179.0,75.5,30.3,69.1,77.9,58.7,7.5,12.3,62.9,0.13,5,5,Unknown Coach,2,50,1,14,0.451,3.0,4.1,0,0,0,0,0,10.7,11.3,4.7,0,0,99,5.3,0.473,UEFA,0,0,0.71,0.87,2657.0,3.3,0.8,3.0,11,1.0,0.0,2.0,8.0,50.2,1.52,25,1563.24,1650,2.4,1680.6,2.2,4.0,0.61
Turkey,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,8.7,11.4,3.8,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,0.36,49.6,7.0,6.0,27.0,30.0,2100.0,1561.0,15.0,400.0,15,10,179.0,75.5,33.4,68.9,77.9,56.1,7.4,13.5,58.5,0.21,5,5,Unknown Coach,2,50,1,14,0.469,3.0,3.5,0,0,0,0,0,12.4,6.3,4.1,0,0,99,5.8,0.377,UEFA,0,0,0.8,0.96,10653.0,13.3,0.5,5.0,11,-1.0,3.0,1.0,6.0,51.9,1.48,26,1558.46,1640,36.6,1474.8,4.3,7.0,0.84
Poland,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,11.6,14.6,2.7,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,0.45,39.5,8.0,9.0,27.0,30.0,2100.0,1234.0,15.0,400.0,15,10,179.0,75.5,30.1,66.7,77.9,62.5,6.1,18.0,50.4,0.14,5,5,Unknown Coach,2,50,1,14,0.463,2.0,3.6,0,0,0,0,0,8.2,10.1,6.1,0,0,99,6.4,0.464,UEFA,0,0,0.62,0.87,4895.0,6.1,0.4,1.0,11,8.0,2.0,2.0,7.0,51.5,1.65,27,1543.71,1630,33.5,1600.5,3.2,5.0,0.85
Sweden,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,8.5,17.8,2.1,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,0.56,64.3,4.0,6.0,27.0,30.0,2100.0,1860.0,15.0,400.0,15,10,179.0,75.5,31.8,56.1,77.9,58.8,3.2,16.8,51.8,0.11,5,5,Unknown Coach,2,50,1,14,0.519,5.0,4.0,0,0,0,0,0,15.0,4.5,5.7,0,0,99,6.1,0.497,UEFA,0,0,0.82,0.8,3415.0,4.3,0.67,3.0,11,5.0,5.0,3.0,10.0,53.3,1.61,28,1537.29,1620,48.6,1603.3,1.5,3.0,0.94
Nigeria,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,10.4,17.9,1.7,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,1.17,35.3,5.0,10.0,27.0,30.0,2100.0,1774.0,15.0,400.0,15,10,179.0,75.5,32.8,71.0,77.9,55.5,6.4,14.3,50.8,0.08,5,5,Unknown Coach,2,50,1,14,0.53,2.0,3.6,0,0,0,0,0,8.5,5.2,5.0,0,0,99,4.9,0.336,CAF,0,0,0.52,0.8,10407.0,13.0,0.7,7.0,11,4.0,1.0,0.0,3.0,49.9,1.62,29,1532.68,1610,44.9,1521.2,3.5,4.0,0.83
Egypt,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,14.5,11.8,2.1,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,0.33,48.8,3.0,5.0,27.0,30.0,2100.0,1606.0,15.0,400.0,15,10,179.0,75.5,30.3,62.0,77.9,61.3,3.3,15.0,64.2,0.17,5,5,Unknown Coach,2,50,1,14,0.508,4.0,3.6,0,0,0,0,0,15.5,7.6,5.6,0,0,99,5.1,0.539,CAF,0,0,0.66,0.91,9525.0,11.9,0.7,4.0,11,7.0,3.0,2.0,1.0,50.7,1.68,30,1528.94,1600,38.4,1518.8,3.6,7.0,0.75
Canada,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,14.2,14.8,1.9,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,1.09,43.7,9.0,8.0,27.0,30.0,2100.0,1823.0,15.0,400.0,15,10,179.0,75.5,31.9,70.7,77.9,65.6,8.0,13.7,63.4,0.23,5,5,Jesse Marsch,1,51,0,14,0.489,4.0,3.6,2,0,0,0,0,12.1,7.7,5.6,1986,27,40,3.0,0.404,CONCACAF,1,1,0.6,0.93,6436.0,8.0,0.84,2.0,11,6.0,0.0,2.0,9.0,54.5,1.61,31,1523.45,1590,15.5,1461.0,2.9,5.0,0.92
Ecuador,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,9.9,13.9,1.2,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,1.17,64.1,4.0,7.0,27.0,30.0,2100.0,1511.0,15.0,400.0,15,10,179.0,75.5,33.2,71.4,77.9,64.1,5.6,16.7,60.7,0.17,5,5,Unknown Coach,2,50,1,14,0.548,3.0,4.8,0,0,0,0,0,14.4,9.9,3.6,0,0,99,5.0,0.304,CONMEBOL,1,0,0.92,0.62,9231.0,11.5,0.33,8.0,11,-2.0,4.0,1.0,5.0,50.5,1.64,32,1517.82,1580,57.2,1544.2,2.3,8.0,0.79
Serbia,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,8.4,18.1,1.8,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,0.55,57.0,10.0,15.0,27.0,30.0,2100.0,1928.0,15.0,400.0,15,10,179.0,75.5,29.6,72.1,77.9,56.1,4.4,14.8,64.4,0.16,5,5,Unknown Coach,2,50,1,14,0.515,4.0,3.8,0,0,0,0,0,16.4,4.4,5.9,0,0,99,4.2,0.306,UEFA,0,0,0.5,0.78,4113.0,5.1,0.7,3.0,11,3.0,1.0,2.0,6.0,54.1,1.62,33,1512.38,1570,-22.8,1558.0,2.6,8.0,0.63
Chile,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,11.8,15.4,1.2,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,0.47,59.4,5.0,14.0,27.0,30.0,2100.0,2159.0,15.0,400.0,15,10,179.0,75.5,28.8,67.9,77.9,60.4,3.2,13.9,50.4,0.1,5,5,Unknown Coach,2,50,1,14,0.521,3.0,3.8,0,0,0,0,0,12.2,10.1,3.2,0,0,99,6.9,0.647,CONMEBOL,1,0,0.56,0.67,10785.0,13.5,0.38,9.0,11,1.0,2.0,0.0,0.0,50.5,1.51,34,1505.62,1560,33.3,1650.6,4.0,6.0,0.7
